x,c05,observed_z05,m0_local,m1_local_lzeros,m2_local_lzeros_cross,split
1709,-1644.9353514968655,-0.023282828549134785,-0.022529827842682315,-0.02335817975793949,-0.02335996818332385,discovery
1724,-1661.126985790897,-0.023205821182718103,-0.022466678760930007,-0.023279421952918707,-0.023281645528300508,discovery
1739,-1677.0620364298693,-0.023125959191603627,-0.022404197548285418,-0.023198121882615975,-0.0232003390269969,discovery
1754,-1692.7361750678544,-0.023043311568541797,-0.02234237182744204,-0.023114492442171196,-0.023116182003832694,discovery
1769,-1708.1566119590566,-0.022958099670733364,-0.022281189548335033,-0.02302877798973911,-0.023029552028865908,discovery
1785,-1724.3684879496582,-0.022865081149080684,-0.02221662445125018,-0.022935386230492186,-0.022935119604081934,discovery
1800,-1739.3829367499832,-0.022776471660297865,-0.022156735111679662,-0.022846343559257867,-0.022845197666299655,discovery
1816,-1755.2292795019794,-0.02268088980689019,-0.022093523489205662,-0.022750155076585468,-0.022748107734525024,discovery
1832,-1770.906324230294,-0.022584339039962566,-0.022030990977112978,-0.022653050846831804,-0.02265018875262235,discovery
1847,-1785.4796695835425,-0.02249337202738186,-0.02197297214994414,-0.022561416043903035,-0.022558057345538805,discovery
1864,-1801.8928179048253,-0.022390309261377764,-0.021907912518493458,-0.02245706470770871,-0.022453577842713398,discovery
1880,-1817.221686829421,-0.02229313454796588,-0.02184734203437397,-0.022358523438872315,-0.022355198519626026,discovery
1896,-1832.4229074325501,-0.02219566762977388,-0.021787401562128474,-0.022259803596544975,-0.02225665690922236,discovery
1913,-1848.4708108563334,-0.022092259810429844,-0.021724392286217777,-0.022154864852750207,-0.022151868534792854,discovery
1929,-1863.449865548558,-0.021994767294103785,-0.021665715305698604,-0.022056176598373285,-0.0220534419245364,discovery
1946,-1879.287184711416,-0.021891670274788003,-0.021604023589853708,-0.02195150444775818,-0.02194916860833977,discovery
1963,-1895.0138678688131,-0.021788731297565467,-0.021542991782652912,-0.021847083540441594,-0.0218451714673771,discovery
1980,-1910.6633717670054,-0.021686346506041572,-0.021482607529452056,-0.021742942230959527,-0.021741717309519716,discovery
1997,-1926.2468797022113,-0.02158464205032094,-0.021422858805409763,-0.021639104118225262,-0.021639020944989013,discovery
2014,-1941.7271563016975,-0.021483201664275715,-0.02136373390408588,-0.02153562717705906,-0.0215367776870587,discovery
2032,-1958.0058265305126,-0.021376097633446462,-0.021301798349366474,-0.02142659053972782,-0.021428698071044094,discovery
2049,-1973.2563451877347,-0.021275049067658,-0.02124392222594801,-0.02132429755909375,-0.021327000278908922,discovery
2067,-1989.3469690517504,-0.021168974590697984,-0.021183284346636487,-0.021216947284785164,-0.021220078686300214,discovery
2085,-2005.377924454106,-0.021063820291498146,-0.021123295308295317,-0.021110805803099153,-0.021114168754062402,discovery
2103,-2021.3640524517134,-0.02095972735339928,-0.021063942966369716,-0.021006044923171725,-0.021009553196498654,discovery
2122,-2038.255346687989,-0.020851654527566526,-0.02100197095268054,-0.020897080597479252,-0.0209007915167752,discovery
2140,-2054.245270612394,-0.020750646680607113,-0.02094389059961486,-0.020795432851269047,-0.020799207474733458,discovery
2159,-2071.0830696486564,-0.020645174355004486,-0.020883235946179652,-0.020689798595295485,-0.020693088885847165,discovery
2177,-2086.972940136019,-0.020546089445452824,-0.020826380293102357,-0.020591239181488516,-0.02059351737914504,discovery
2196,-2103.7486166686494,-0.02044303347308742,-0.02076699441884906,-0.02048871498179009,-0.020489852213306955,discovery
2215,-2120.5609063590646,-0.020341836292361637,-0.020708242032807894,-0.020387669239082678,-0.020388009352261097,discovery
2235,-2138.2663603828114,-0.020236971143036596,-0.020647068810855682,-0.020282883122413727,-0.020282660306279517,discovery
2254,-2155.107444248224,-0.02013900730789321,-0.020589580073445385,-0.02018488126610427,-0.02018422254713272,discovery
2274,-2172.8905727178185,-0.020037898166496423,-0.02052971187080115,-0.02008343752674186,-0.020082543780193696,discovery
2293,-2189.83069700913,-0.019943641429936477,-0.020473439659195958,-0.01998879085279014,-0.019987933109021902,discovery
2313,-2207.718691600891,-0.01984633351993387,-0.02041482820328364,-0.01989108606673038,-0.01989031358091491,discovery
2333,-2225.693504321066,-0.01975118924204213,-0.020356843334941557,-0.019795478017643902,-0.019794707940706056,discovery
2354,-2244.6437677405916,-0.019653402072125573,-0.02029662078433849,-0.01969748672067812,-0.01969663883803902,discovery
2374,-2262.794366791219,-0.01956248477856765,-0.020239884167006752,-0.019606540435892085,-0.019605392014531847,discovery
2395,-2281.956998990797,-0.019469248112570135,-0.020180947500700392,-0.01951356637501455,-0.01951185637529982,discovery
2415,-2300.3504305490906,-0.01938287959371597,-0.020125412566420527,-0.019427371118205316,-0.019425210123520414,discovery
2436,-2319.8414664894945,-0.019294893292456053,-0.020067714199785654,-0.019339266277811448,-0.019336898554428706,discovery
